DATE,Billion Cubic Feet,Price,Unemployment Rate
2000/01/01,2510.5,2.40275,4.5
2000/02/01,2330.7,2.657375,4.4
2000/03/01,2050.6,2.7816,4.3
2000/04/01,1783.3,3.03526316,3.7
2000/05/01,1632.9,3.58954546,3.8
2000/06/01,1513.1,4.28727273,4.1
2000/07/01,1525.6,3.9895,4.2
2000/08/01,1653.1,4.42652174,4.1
2000/09/01,1475,5.0645,3.8
2000/10/01,1567.9,5.02136364,3.6
2000/11/01,1908.5,5.522,3.7
2000/12/01,2587.5,8.9135,3.7
2001/01/01,2677,8.17285714,4.7
2001/02/01,2309.5,5.55157895,4.6
2001/03/01,2246.6,5.17772727,4.5
2001/04/01,1807.2,5.1825,4.2
2001/05/01,1522.4,4.195,4.1
2001/06/01,1444.4,3.72714286,4.7
2001/07/01,1598.1,3.10714286,4.7
2001/08/01,1669.2,2.95434783,4.9
2001/09/01,1494.1,2.19052632,4.7
2001/10/01,1649.1,2.47043478,5
2001/11/01,1701,2.3555,5.3
2001/12/01,2120.2,2.42315789,5.4
2002/01/01,2487.6,2.25809524,6.3
2002/02/01,2242.4,2.31052632,6.1
2002/03/01,2258.4,3.0315,6.1
2002/04/01,1881,3.42772727,5.7
2002/05/01,1611.5,3.50454546,5.5
2002/06/01,1591.4,3.225,6
2002/07/01,1748.4,2.99,5.9
2002/08/01,1725.7,3.08727273,5.7
2002/09/01,1542.2,3.553,5.4
2002/10/01,1645.9,4.13304348,5.3
2002/11/01,1913.6,4.06210526,5.6
2002/12/01,2378.9,4.74761905,5.7
2003/01/01,2700.6,5.46142857,6.5
2003/02/01,2500.3,7.86263158,6.4
2003/03/01,2197.9,5.94428571,6.2
2003/04/01,1743.5,5.27666667,5.8
2003/05/01,1514.7,5.81333333,5.8
2003/06/01,1368.4,5.82904762,6.5
2003/07/01,1600.5,5.02727273,6.3
2003/08/01,1651.6,4.98619048,6
2003/09/01,1428.6,4.62095238,5.8
2003/10/01,1553.2,4.63391304,5.6
2003/11/01,1753.6,4.49166667,5.6
2003/12/01,2263.7,6.14,5.4
2004/01/01,2675.8,6.15052632,6.3
2004/02/01,2511.1,5.37631579,6
2004/03/01,2100.9,5.39608696,6
2004/04/01,1745.2,5.7152381,5.4
2004/05/01,1573,6.335,5.3
2004/06/01,1483.7,6.26714286,5.8
2004/07/01,1584.9,5.935,5.7
2004/08/01,1578,5.40772727,5.4
2004/09/01,1482.2,5.16714286,5.1
2004/10/01,1557.2,6.37857143,5.1
2004/11/01,1782.8,6.187,5.2
2004/12/01,2327.7,6.58190476,5.1
2005/01/01,2561.9,6.152,5.7
2005/02/01,2243,6.13842105,5.8
2005/03/01,2205.8,6.95545455,5.4
2005/04/01,1724.9,7.17571429,4.9
2005/05/01,1522.6,6.47380952,4.9
2005/06/01,1534.1,7.18454545,5.2
2005/07/01,1686.6,7.6165,5.2
2005/08/01,1695.1,9.52478261,4.9
2005/09/01,1422.5,12.5315381,4.8
2005/10/01,1428.2,13.6338095,4.6
2005/11/01,1663.4,10.3005,4.8
